@relation abc-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R6

@attribute DAY_OF_MONTH numeric
@attribute DAY_OF_WEEK numeric
@attribute CARRIER {AA,B6,DL,EV,MQ,OO,UA,WN}
@attribute ORIGIN {JFK,LAX,DFW,ORD,BOS,DEN,EWR}
@attribute DEP_TIME numeric
@attribute DISTANCE numeric
@attribute DEP_DEL15 {notdelayed,delayed}

@data
13,7,AA,ORD,1,4,notdelayed
17,4,MQ,ORD,2,1,delayed
23,3,AA,ORD,1,2,notdelayed
28,1,EV,EWR,1,2,notdelayed
4,5,UA,ORD,1,2,delayed
17,4,MQ,DFW,1,3,delayed
10,4,AA,DFW,1,4,notdelayed
7,1,UA,BOS,1,3,notdelayed
25,5,AA,DFW,2,4,delayed
12,6,OO,LAX,2,2,notdelayed
9,3,AA,EWR,1,4,delayed
11,5,EV,ORD,2,3,notdelayed
2,3,AA,LAX,2,4,delayed
21,1,UA,EWR,1,4,notdelayed
1,2,OO,DFW,0,3,delayed
8,2,EV,ORD,2,2,delayed
3,4,AA,DFW,2,5,delayed
15,2,OO,DEN,0,1,notdelayed
16,3,WN,LAX,2,1,delayed
7,1,AA,JFK,2,2,delayed
16,3,OO,DEN,2,3,delayed
15,2,UA,DEN,1,3,delayed
21,1,UA,LAX,1,5,delayed
8,2,AA,ORD,2,3,delayed
2,3,EV,ORD,1,1,notdelayed
22,2,MQ,DFW,2,1,notdelayed
11,5,WN,LAX,1,7,notdelayed
4,5,MQ,ORD,1,1,delayed
26,6,OO,LAX,1,1,delayed
29,2,EV,EWR,2,1,delayed
7,1,MQ,ORD,2,0,notdelayed
26,6,DL,LAX,1,7,notdelayed
27,7,EV,DFW,2,2,notdelayed
21,1,OO,ORD,1,0,delayed
17,4,B6,BOS,1,10,notdelayed
9,3,B6,BOS,2,4,delayed
10,4,UA,EWR,2,9,notdelayed
17,4,UA,EWR,1,8,delayed
1,2,AA,DFW,2,0,notdelayed
24,4,MQ,DFW,1,0,notdelayed
7,1,AA,BOS,2,9,delayed
22,2,EV,ORD,1,0,notdelayed
10,4,B6,BOS,0,2,notdelayed
16,3,B6,EWR,2,0,notdelayed
23,3,UA,LAX,1,9,delayed
18,5,UA,ORD,2,3,delayed
21,1,OO,LAX,1,0,delayed
15,2,AA,DFW,1,3,delayed
30,3,B6,JFK,2,0,notdelayed
17,4,UA,DEN,2,3,notdelayed
16,3,OO,LAX,2,4,notdelayed
21,1,OO,DEN,2,1,delayed
18,5,UA,EWR,0,8,notdelayed
